clean_date,hour,pm 2.5 (Plume AQI),pm 10 (Plume AQI)
2020-01-21,11,50.2,27.2
2020-01-21,12,38.8,25.9
2020-01-21,13,32.3,22.4
2020-01-21,14,33.0,22.6
2020-01-21,15,38.8,26.1
2020-01-21,16,32.6,17.7
2020-01-21,17,36.2,19.1
2020-01-21,18,44.8,27.1
2020-01-21,19,26.5,22.7
2020-01-21,20,29.3,27.6
2020-01-21,21,38.5,31.0
2020-01-21,22,43.3,35.1
2020-01-21,23,46.4,32.5
2020-01-22,0,48.0,30.9
2020-01-22,1,49.0,32.8
2020-01-22,2,46.8,29.6
2020-01-22,3,41.9,25.2
2020-01-22,4,39.1,22.2
2020-01-22,5,38.2,22.4
2020-01-22,6,34.6,22.5
2020-01-22,7,34.6,22.4
2020-01-22,8,33.9,41.1
2020-01-22,9,28.6,28.7
2020-01-22,10,18.8,14.9
2020-01-22,11,29.3,18.5
2020-01-22,12,29.0,19.1
2020-01-22,13,39.1,23.9
2020-01-22,14,25.9,15.6
2020-01-22,15,27.1,17.0
2020-01-22,16,27.9,15.8
2020-01-22,17,27.0,17.9
2020-01-22,18,34.1,24.4
2020-01-22,19,33.4,21.6
2020-01-22,20,48.4,37.9
2020-01-22,21,88.5,49.9
2020-01-22,22,85.4,45.7
2020-01-22,23,81.0,41.7
2020-01-23,0,79.0,40.6
2020-01-23,1,74.2,42.4
2020-01-23,2,66.3,34.4
2020-01-23,3,58.4,31.8
2020-01-23,4,51.5,31.2
2020-01-23,5,46.6,28.6
2020-01-23,6,44.4,26.0
2020-01-23,7,45.5,35.4
2020-01-23,8,47.0,71.3
2020-01-23,9,38.5,44.4
2020-01-23,10,28.8,26.1
2020-01-23,11,27.1,22.3
2020-01-23,12,36.8,28.2
2020-01-23,13,40.7,28.0
2020-01-23,14,31.0,18.8
2020-01-23,15,28.0,17.3
2020-01-23,16,24.2,15.2
2020-01-23,17,28.8,15.8
2020-01-23,18,19.7,14.3
2020-01-23,19,13.5,16.7
2020-01-23,20,15.2,21.6
2020-01-23,21,22.1,25.1
2020-01-23,22,29.7,22.7
2020-01-23,23,27.3,22.4
2020-01-24,0,21.4,19.5
2020-01-24,1,20.3,17.1
2020-01-24,2,17.0,17.8
2020-01-24,3,14.1,19.0
2020-01-24,4,13.8,17.6
2020-01-24,5,13.5,20.8
2020-01-24,6,13.7,24.3
2020-01-24,7,21.4,35.5
2020-01-24,8,15.0,19.7
2020-01-24,9,19.1,16.9
2020-01-24,10,22.9,20.6
2020-01-24,11,32.8,27.0
2020-01-24,12,35.6,28.0
2020-01-24,13,27.8,19.4
2020-01-24,14,29.9,17.5
2020-01-24,15,29.2,16.9
2020-01-24,16,35.1,32.3
2020-01-24,17,35.4,30.8
2020-01-24,18,31.8,27.1
2020-01-24,19,55.2,43.6
2020-01-24,20,57.9,49.6
2020-01-24,21,62.1,39.0
2020-01-24,22,49.8,34.1
2020-01-24,23,52.9,41.1
2020-01-25,0,51.2,39.9
2020-01-25,1,49.1,34.0
2020-01-25,2,43.8,25.5
