date,region_unit,area,address,total_tests,positive_tests,male,female,median_age,lat,long,positivity
10/26/20,Περιφέρεια Αττικής,Περιστέρι,Δημαρχείο Περιστερίου,989,31,14.0,17.0,35.0,38.01288529999999,23.6951379,3.1
11/19/20,Π.Ε. Φθιώτιδας,Λαμία,Λαμία,232,7,5.0,2.0,53.0,38.8997323,22.4336668,3.0
12/1/20,Π.Ε. Θεσσαλίας,Λάρισα,"Σκεπαστή αγορά Νεάπολης, Λάρισα",274,8,4.0,4.0,32.0,39.6189242,22.4028242,2.9
12/6/20,Π.Ε. Φθιώτιδας,Λαμία,"Φιλίας 10, Λαμία",239,7,2.0,5.0,60.0,38.8890753,22.4482919,2.9
11/26/20,Π.Ε. Καβάλας,Καβάλα,Τελωνείο Καβάλας,225,6,5.0,1.0,44.0,40.9339205,24.4118213,2.7
11/25/20,Π.Ε. Σύρου,Ερμούπολη,οδός Ηρώων Πολυτεχνείου 21 Ερμούπολη,113,3,1.0,2.0,52.0,37.4301243,24.9370666,2.7
11/26/20,Π.Ε. Κοζάνης,Βελβεντός,"Δημαρχείο Βελβεντίου, Βελβεντός",76,2,2.0,,70.0,40.2361265,22.0923755,2.6
10/19/20,Περιφέρεια Αττικής,Αθήνα,"Θησείο, σταθμός ΗΣΑΠ",340,8,5.0,3.0,21.0,37.9773953,23.7215228,2.4
9/28/20,Περιφέρεια Αττικής,Αθήνα,Πλατεία Κουμουνδούρου,422,10,,,,37.9846598,23.7248199,2.4
11/20/20,Π.Ε. Λαμίας,Λαμία,Λαμία,262,6,3.0,2.0,58.0,38.8997323,22.4336668,2.3
10/24/20,Π.Ε. Λαρίσης,Λάρισα,Πλατεία Ταχυδρομείου Λάρισας,511,12,5.0,7.0,30.0,39.6369445,22.418336800000002,2.3
10/25/20,Περιφέρεια Αττικής,Νέος Κόσμος,"Πλατεία Αγίου Ιωάννη, στάση Μετρό",685,15,,,29.4,37.95674,23.7341678,2.2
11/19/20,Π.Ε. Λαρίσης,Κιλελέρ,Δήμος Κιλελέρ,186,4,3.0,1.0,50.0,39.5047614,22.6394813,2.2
11/25/20,Π.Ε. Λέσβου,Μυτιλήνη,Μυτιλήνη,255,5,4.0,1.0,46.0,39.1067382,26.5572747,2.0
10/13/20,Περιφέρεια Αττικής,Νίκαια,Πλατεία Αγίου Νικολάου,722,14,10.0,4.0,38.0,37.9661956,23.647050600000004,1.9
10/24/20,Περιφέρεια Αττικής,Νέος Κόσμος,Πλατεία Αγίου Ιωάννη Αθήνα,726,13,5.0,8.0,33.0,37.956104100000005,23.7352007,1.8
11/4/20,Περιφέρεια Αττικής,Ελληνικό,"Πλατεία Ποντίων, Ελληνικό",676,12,6.0,6.0,21.0,37.891654700000004,23.7560411,1.8
12/4/20,Π.Ε. Έβρου,Αλεξανδρούπολη,"Πάρκο Φώτης Κοσμάς, Αλεξανδρούπολη",384,7,3.0,4.0,40.0,40.8449191,25.862252,1.8
11/17/20,Π.Ε. Μεσσηνίας,Καλαμάτα,Μέγαρο Χορού Καλαμάτας,164,3,2.0,1.0,38.0,37.039846000000004,22.107504300000002,1.8
10/6/20,Περιφέρεια Αττικής,Καλλιθέα,Πλατεία Δαβάκη,615,11,,,37.0,37.9529855,23.7052539,1.8
