unique_code,price,AREA_SIZE,calculated_sqm,x,y,price_per_sqm
91ΛΣΩΞΕ-ΑΣΠ,6000.0,120.0,193.37642154063752,2637327.5581,4568787.425499998,50.0
91ΛΨΗ-6Β9,165.36,17.5,20.77509289861928,2454468.8691999987,4618512.162799999,9.0
91ΛΩΩΨΤ-Ζ7Κ,7500.0,500.0,754.8805455686562,2704604.9290000014,4212050.490599997,15.0
91ΞΠΗ-ΤΜΚ,1472.16,1000.0,846.0468854675979,2547357.8670000006,4820847.74825,1.0
91Ο8Ω9Ω-ΡΣΘ,4300.0,500.0,872.1690782076741,2639910.6006000005,4972126.001199998,9.0
91Ρ6Ω1Ζ-ΘΧΖ,877.19,117.231,199.22695658955064,2556234.3104000017,4714731.138899997,7.0
91ΤΒΩΨΤ-Δ0Ξ,7500.0,500.0,768.4546137784694,2689500.7014000006,4226849.045400001,15.0
91ΤΤΗ-ΥΞ0,7899.65,143.63,222.66195158918143,2558213.2936999984,4365106.015299998,55.0
91ΦΣΩΕΤ-ΗΘΚ,1116.0,93.0,160.33958686355055,2515464.1125000007,4904371.924999997,12.0
91ΧΣΗ-ΛΤΘ,385.0,35.0,55.045166173634115,2459089.6415,4442863.312850002,11.0
91Ψ7ΩΡΗ-ΞΡ2,2500.0,500.0,794.3244418885415,2411906.4505999982,4496217.748300001,5.0
91Ψ8Ω1Ψ-0ΦΑ,900.0,36.0,54.47406689880616,2729579.1920000017,4214371.257299997,25.0
91ΨΡΩ1Ψ-ΑΤΠ,25935.0,864.5010000000001,1303.7572596696486,2727866.839200001,4214087.9651999995,30.0
91ΨΧΗ-5ΦΨ,350.0,35.0,55.76590790590109,2977032.4957000017,4536994.8895,10.0
9238Η-ΕΟΒ,4919.4,245.951,416.1723012465005,2205779.787700001,4836527.656800002,20.0
9241Η-ΗΛΓ,1260.0,70.0,122.24114988381125,2739782.4343000017,4979890.455499999,18.0
926ΜΗ-ΓΦΙ,4301.075,400.0,603.2379367174518,2710279.533599999,4211686.125399999,11.0
929ΜΗ-ΟΤΙ,1067.4,88.95100000000001,138.94042181172688,2537630.4574000016,4405759.093199998,12.0
929ΧΗ-7ΩΚ,55000.0,514.951,862.379948409487,2218926.4748,4783692.731399998,107.0
92Β4Ω1Ψ-ΩΓΔ,649.74,49.981,75.18602840417655,2737282.3088000007,4216333.608599998,13.0
92ΒΣΗ-Σ12,9937.5,1265.0,2007.6583792903066,2606507.3997750003,4490298.351749999,8.0
92ΔΧΩΛΤ-ΤΧΜ,1030.68,147.241,242.55745077426164,2565920.701299999,4683689.618000001,7.0
92ΕΙΗ-8ΓΟ,2605.0,521.0,1547.1045305820085,2471647.065849999,4627816.181449998,5.0
92ΕΚΩΗΜ-ΟΝΑ,6000.0,500.0,751.0377378602677,2828418.482999999,4205705.560999997,12.0
92ΕΝΩΗΜ-ΜΝ8,3289.0,253.0,378.09102650341754,2834321.5771999992,4203866.1450999975,13.0
92ΖΟΩΕ7-4ΟΓ,816.0,102.0,169.17410984873226,2601650.3302000016,4719158.093199998,8.0
92Η7Η-ΝΨ8,966.6,64.441,96.28250144956814,2848177.736200001,4164325.990099996,15.0
92ΙΕΗ-ΤΞ5,3876.124999999999,408.94000000000005,442.68591267158604,2465741.0250499994,4436519.27465,9.0
92ΛΞΩΗ5-089,2484.0,138.0,208.64265468213887,2665762.1889000013,4233919.057700001,18.0
92ΛΤΩ6Τ-Ι1Ψ,3040.0,400.0,605.7919324381995,2734353.9327999987,4177853.684,8.0
92Μ2Η-Ρ5Ξ,5000.0,415.0,626.2578063946902,2787617.45345,4212305.70245,12.0
92ΜΔΩΚΦ-ΡΕΨ,301.0,15.0,24.005955829590324,2553196.959399998,4513291.650700003,20.0
92Ν8Η-Η7Δ,554.0,67.2,111.13822242698852,2563115.6768999994,4704916.115500003,8.0
92ΞΦΩΛΤ-ΝΥΑ,169.4,24.201,39.80157051233696,2564504.8517999984,4685850.358499996,7.0
92ΟΟΗ-ΗΩΗ,6759.6166,253.93,416.1213771589298,2293143.456099998,4669009.509300001,27.0
92ΣΓΗ-9ΜΨ,5364.9,298.05,499.7590173204658,2219108.6165000014,4790276.513499998,18.0
92Χ2Ω1Ψ-Α0Χ,6804.0,378.0,570.1459437990139,2730610.916999999,4214541.774099998,18.0
92Ω1ΩΡ4-Χ60,280.75,11.231,17.409289675187004,2558079.3621000014,4371168.253899999,25.0
930546ΜΦΟ8-Ι6Τ,240.0,30.0,49.59615782561366,2961206.6796999983,4534744.477600001,8.0
